2023-09-25 01:07:49.509 INFO  14932 --- [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-09-25 01:07:49.559 TRACE 14932 --- [SpringApplicationShutdownHook] o.h.type.spi.TypeConfiguration$Scope : Handling #sessionFactoryClosed from [org.hibernate.internal.SessionFactoryImpl@5ac7550a] for TypeConfiguration
2023-09-25 01:07:49.560 DEBUG 14932 --- [SpringApplicationShutdownHook] o.h.type.spi.TypeConfiguration$Scope : Un-scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration$Scope@4bc708b] from SessionFactory [org.hibernate.internal.SessionFactoryImpl@5ac7550a]
2023-09-25 01:07:49.589 INFO  14932 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2023-09-25 01:07:49.603 INFO  14932 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2023-09-25 01:07:52.379 INFO  24752 --- [main] c.E.EncinasCurrencyExchangeApplication : Starting EncinasCurrencyExchangeApplication using Java 20.0.1 with PID 24752 (C:\Users\ALBERTO\Desktop\7s\arquitectura de software\Proyectos\Encinas_Currency_Exchange\target\classes started by ALBERTO in C:\Users\ALBERTO\Desktop\7s\arquitectura de software\Proyectos\Encinas_Currency_Exchange)
2023-09-25 01:07:52.380 INFO  24752 --- [main] c.E.EncinasCurrencyExchangeApplication : No active profile set, falling back to 1 default profile: "default"
2023-09-25 01:07:52.982 INFO  24752 --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-25 01:07:53.035 INFO  24752 --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 47 ms. Found 2 JPA repository interfaces.
2023-09-25 01:07:53.502 INFO  24752 --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8081 (http)
2023-09-25 01:07:53.510 INFO  24752 --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat]
2023-09-25 01:07:53.510 INFO  24752 --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-09-25 01:07:53.586 INFO  24752 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2023-09-25 01:07:53.587 INFO  24752 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1174 ms
2023-09-25 01:07:53.723 INFO  24752 --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-25 01:07:53.809 INFO  24752 --- [main] org.hibernate.Version : HHH000412: Hibernate ORM core version 6.2.6.Final
2023-09-25 01:07:53.811 INFO  24752 --- [main] org.hibernate.cfg.Environment : HHH000406: Using bytecode reflection optimizer
2023-09-25 01:07:53.948 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@736b21ee
2023-09-25 01:07:53.948 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@736b21ee
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@736b21ee
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@60deefed
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@60deefed
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration true_false -> org.hibernate.type.BasicTypeReference@49754e74
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@49754e74
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@31881aa2
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@31881aa2
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration byte -> org.hibernate.type.BasicTypeReference@1b46392c
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration byte -> org.hibernate.type.BasicTypeReference@1b46392c
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@1b46392c
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration binary -> org.hibernate.type.BasicTypeReference@cf01c2e
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@cf01c2e
2023-09-25 01:07:53.949 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration [B -> org.hibernate.type.BasicTypeReference@cf01c2e
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@6f15f52a
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@6f15f52a
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration image -> org.hibernate.type.BasicTypeReference@1eb9bf60
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration blob -> org.hibernate.type.BasicTypeReference@341c6ac2
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@341c6ac2
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@38811103
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@787d1f9c
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration short -> org.hibernate.type.BasicTypeReference@2becfd4c
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration short -> org.hibernate.type.BasicTypeReference@2becfd4c
